Word,Frequency
good,6931
food,6667
place,6079
order,3474
service,3304
chicken,3103
taste,2971
ambience,2128
one,2040
time,2021
great,1978
try,1942
go,1873
like,1740
visit,1728
really,1674
also,1599
serve,1507
well,1507
restaurant,1449
best,1448
nice,1443
staff,1420
biryani,1403
get,1378
veg,1247
experience,1247
love,1244
bad,1162
make,1106
starter,1088
would,1074
come,1065
even,1035
dish,1026
give,955
must,953
quality,867
price,853
awesome,845
take,803
rice,786
overall,770
friend,755
drink,733
item,731
recommend,718
menu,715
paneer,714
tasty,708
buffet,687
quantity,686
much,671
say,669
amaze,659
delicious,646
ambiance,641
fry,616
main,605
spicy,596
lunch,584
course,572
friendly,566
hyderabad,560
look,558
people,555
eat,551
music,543
pizza,535
fish,534
table,525
lot,521
little,520
zomato,514
money,513
worth,510
cake,502
variety,498
decent,494
definitely,492
want,490
never,490
cream,485
thing,485
could,484
less,480
first,480
option,480
ask,480
though,468
dinner,468
quite,464
enjoy,463
soup,457
ice,455
excellent,451
dessert,450
bit,450
day,449
customer,441
non,440
special,440
need,439
curry,439
delivery,436
sauce,427
burger,425
find,425
cheese,421
night,420
ever,419
perfect,417
average,414
gachibowli,407
ok,398
chocolate,394
sweet,391
feel,391
tikka,384
butter,382
hot,379
cook,379
mutton,376
noodle,371
family,370
indian,369
amazing,367
always,366
many,364
pretty,361
everything,358
different,354
seat,349
piece,348
guy,348
wait,344
kebab,342
know,338
every,337
crowd,337
team,336
star,335
small,330
keep,329
prawn,326
big,322
top,322
masala,317
fresh,316
two,315
back,314
flavour,312
way,312
thanks,312
expect,311
review,311
corn,306
think,304
start,304
pasta,303
chinese,303
offer,302
high,301
party,300
see,299
polite,299
especially,298
use,298
floor,295
available,291
deliver,290
waiter,289
around,287
sure,281
wing,281
name,280
call,280
hangout,279
improve,278
crispy,276
please,276
area,274
nothing,274
beer,273
chilli,271
coffee,270
work,270
garlic,266
rating,266
quick,266
spice,265
happy,265
full,264
something,264
provide,261
value,259
side,256
vegetarian,252
part,252
add,252
courteous,251
live,249
grill,247
dance,245
pack,242
slow,241
manager,237
biriyani,236
soft,236
right,235
okay,235
kind,234
suggest,232
last,231
along,229
sit,228
hour,228
bread,227
enough,226
brownie,225
lover,224
cold,223
water,220
meal,219
next,218
north,217
open,216
mushroom,214
person,214
super,214
shawarma,214
spread,213
disappoint,213
fine,212
egg,212
mandi,212
felt,212
light,210
disappointed,210
yummy,210
mention,209
bar,208
almost,208
long,207
thank,207
pay,206
end,205
gold,205
pathetic,205
weekend,205
care,204
dal,204
view,203
leave,201
min,200
however,200
gravy,198
highly,198
naan,198
shake,197
dj,196
fill,196
seem,196
late,195
chef,195
cuisine,194
still,192
city,192
specially,191
flavor,191
authentic,188
hospitality,188
mark,187
paratha,186
salad,186
tell,185
tandoori,184
inside,184
dry,183
absolutely,182
couple,182
without,181
another,178
outlet,178
mouth,178
roti,176
box,176
locate,175
today,175
beautiful,174
new,172
cost,172
huge,172
pocket,170
favourite,170
compare,170
combo,170
totally,168
onion,168
extremely,167
cafe,167
sandwich,165
stuff,164
since,163
half,162
expensive,161
soon,161
old,160
cool,159
visited,159
punjabi,157
desert,156
fast,156
wonderful,156
lovely,155
outside,155
potato,155
miss,155
choice,154
whole,154
momos,154
expectation,154
mr,153
wrap,153
bill,152
receive,151
charge,148
amount,148
regular,148
hard,147
ordered,147
properly,147
counter,146
waste,146
packaging,145
dont,144
red,144
fruit,144
sunday,144
group,144
chutney,143
home,143
spend,143
reasonable,142
choose,142
office,142
everyone,142
hotel,141
interior,141
till,141
hyderabadi,141
thali,140
management,138
mocktails,138
check,138
pork,138
change,137
treat,137
outdoor,137
dine,137
portion,136
vegetable,136
poor,136
din,135
point,135
near,134
finally,134
anything,134
happen,134
pm,134
plate,133
let,133
breakfast,132
location,132
hope,132
bite,131
superb,131
birthday,131
smell,131
juicy,131
meat,131
do,130
base,130
friends,129
else,129
satisfy,129
fan,128
multiple,128
request,128
pastry,127
help,127
friday,126
play,126
thai,126
platter,126
lemon,126
include,126
away,125
cocktail,125
tried,125
chill,125
green,125
pepper,124
simply,122
size,122
house,122
horrible,121
server,121
melt,121
welcome,121
helpful,120
roll,119
veggie,119
close,118
donut,118
rate,118
although,118
extra,117
show,117
actually,116
oil,116
least,116
favorite,116
may,115
reach,115
book,115
space,115
kitchen,113
fried,113
bowl,113
aloo,112
hang,112
rooftop,112
chilly,112
saturday,111
style,111
put,110
mind,110
completely,110
ka,110
bring,110
number,110
probably,110
haleem,110
tea,109
date,108
section,108
turn,108
bakery,108
tender,108
mango,107
perfectly,107
simple,107
minute,107
talk,106
upto,106
instead,106
second,106
mint,106
type,106
usually,105
etc,105
makhani,105
pulao,104
fun,104
yum,104
set,104
online,103
mix,103
follow,103
glass,103
india,102
ur,102
match,101
busy,101
indoor,101
anyone,101
